program_name_and_version,EnergyPlus 9.3.0
program_version_release_date,03/27/2020
program_name_short,E+
results_submission_date,05/19/2020
organization,National Renewable Energy Laboratory
organization_short,NREL
CE100 clg_energy_consumption_total,1519.51
CE100 clg_energy_consumption_supply_fan,143.499
CE100 evaporator_coil_load_total,3796.54
CE100 evaporator_coil_load_sensible,3796.54
CE100 evaporator_coil_load_latent,2.51021e-13
CE100 zone_load_total,3653.04
CE100 zone_load_sensible,3653.04
CE100 zone_load_latent,2.11685e-13
CE100 feb_mean_cop,2.40409
CE100 feb_mean_idb,22.21
CE100 feb_mean_humidity_ratio,0.00745328
CE100 feb_max_cop,2.40609
CE100 feb_max_idb,22.2121
CE100 feb_max_humidity_ratio,0.00745328
CE100 feb_min_cop,2.39843
CE100 feb_min_idb,22.2096
CE100 feb_min_humidity_ratio,0.00745328
CE110 clg_energy_consumption_total,1068.97
CE110 clg_energy_consumption_supply_fan,127.528
CE110 evaporator_coil_load_total,3762.57
CE110 evaporator_coil_load_sensible,3762.57
CE110 evaporator_coil_load_latent,1.68939e-13
CE110 zone_load_total,3635.05
CE110 zone_load_sensible,3635.05
CE110 zone_load_latent,1.87356e-13
CE110 feb_mean_cop,3.40052
CE110 feb_mean_idb,22.2
CE110 feb_mean_humidity_ratio,0.00655775
CE110 feb_max_cop,3.40331
CE110 feb_max_idb,22.2
CE110 feb_max_humidity_ratio,0.00655775
CE110 feb_min_cop,3.39465
CE110 feb_min_idb,22.2
CE110 feb_min_humidity_ratio,0.00655775
CE120 clg_energy_consumption_total,1006.31
CE120 clg_energy_consumption_supply_fan,116.38
CE120 evaporator_coil_load_total,3746.28
CE120 evaporator_coil_load_sensible,3746.28
CE120 evaporator_coil_load_latent,1.95541e-13
CE120 zone_load_total,3629.9
CE120 zone_load_sensible,3629.9
CE120 zone_load_latent,1.76215e-13
CE120 feb_mean_cop,3.60713
CE120 feb_mean_idb,26.7001
CE120 feb_mean_humidity_ratio,0.0080067
CE120 feb_max_cop,3.61013
CE120 feb_max_idb,26.7001
CE120 feb_max_humidity_ratio,0.0080067
CE120 feb_min_cop,3.60094
CE120 feb_min_idb,26.7001
CE120 feb_min_humidity_ratio,0.0080067
CE130 clg_energy_consumption_total,108.048
CE130 clg_energy_consumption_supply_fan,10.2037
CE130 evaporator_coil_load_total,215.897
CE130 evaporator_coil_load_sensible,215.897
CE130 evaporator_coil_load_latent,1.50067e-14
CE130 zone_load_total,205.693
CE130 zone_load_sensible,205.693
CE130 zone_load_latent,1.35003e-14
CE130 feb_mean_cop,1.90372
CE130 feb_mean_idb,22.2001
CE130 feb_mean_humidity_ratio,0.00745532
CE130 feb_max_cop,1.90607
CE130 feb_max_idb,22.2001
CE130 feb_max_humidity_ratio,0.00745532
CE130 feb_min_cop,1.89777
CE130 feb_min_idb,22.2001
CE130 feb_min_humidity_ratio,0.00745532
CE140 clg_energy_consumption_total,67.7231
CE140 clg_energy_consumption_supply_fan,8.07866
CE140 evaporator_coil_load_total,195.764
CE140 evaporator_coil_load_sensible,195.764
CE140 evaporator_coil_load_latent,9.73444e-15
CE140 zone_load_total,187.686
CE140 zone_load_sensible,187.686
CE140 zone_load_latent,9.86233e-15
CE140 feb_mean_cop,2.77137
CE140 feb_mean_idb,22.2001
CE140 feb_mean_humidity_ratio,0.00656348
CE140 feb_max_cop,2.77471
CE140 feb_max_idb,22.2001
CE140 feb_max_humidity_ratio,0.00656348
CE140 feb_min_cop,2.76491
CE140 feb_min_idb,22.2001
CE140 feb_min_humidity_ratio,0.00656348
CE150 clg_energy_consumption_total,1197.33
CE150 clg_energy_consumption_supply_fan,140.297
CE150 evaporator_coil_load_total,4508.22
CE150 evaporator_coil_load_sensible,3769.02
CE150 evaporator_coil_load_latent,739.201
CE150 zone_load_total,4367.92
CE150 zone_load_sensible,3635.07
CE150 zone_load_latent,732.85
CE150 feb_mean_cop,3.64806
CE150 feb_mean_idb,22.1773
CE150 feb_mean_humidity_ratio,0.00839355
CE150 feb_max_cop,3.65252
CE150 feb_max_idb,22.1781
CE150 feb_max_humidity_ratio,0.00841383
CE150 feb_min_cop,3.64278
CE150 feb_min_idb,22.1761
CE150 feb_min_humidity_ratio,0.0083219
CE160 clg_energy_consumption_total,1131.97
CE160 clg_energy_consumption_supply_fan,128.332
CE160 evaporator_coil_load_total,4490.42
CE160 evaporator_coil_load_sensible,3751.22
CE160 evaporator_coil_load_latent,739.201
CE160 zone_load_total,4362.09
CE160 zone_load_sensible,3629.93
CE160 zone_load_latent,732.16
CE160 feb_mean_cop,3.85353
CE160 feb_mean_idb,26.6724
CE160 feb_mean_humidity_ratio,0.0102376
CE160 feb_max_cop,3.85825
CE160 feb_max_idb,26.675
CE160 feb_max_humidity_ratio,0.0102658
CE160 feb_min_cop,3.84819
CE160 feb_min_idb,26.6697
CE160 feb_min_humidity_ratio,0.0101498
CE165 clg_energy_consumption_total,1491.11
CE165 clg_energy_consumption_supply_fan,148.551
CE165 evaporator_coil_load_total,4527.74
CE165 evaporator_coil_load_sensible,3788.54
CE165 evaporator_coil_load_latent,739.201
CE165 zone_load_total,4379.19
CE165 zone_load_sensible,3645.9
CE165 zone_load_latent,733.294
CE165 feb_mean_cop,2.93687
CE165 feb_mean_idb,23.286
CE165 feb_mean_humidity_ratio,0.00936754
CE165 feb_max_cop,2.94122
CE165 feb_max_idb,23.2867
CE165 feb_max_humidity_ratio,0.00939114
CE165 feb_min_cop,2.93133
CE165 feb_min_idb,23.2824
CE165 feb_min_humidity_ratio,0.00928605
CE170 clg_energy_consumption_total,635.366
CE170 clg_energy_consumption_supply_fan,73.0167
CE170 evaporator_coil_load_total,2224.35
CE170 evaporator_coil_load_sensible,1485.15
CE170 evaporator_coil_load_latent,739.201
CE170 zone_load_total,2151.33
CE170 zone_load_sensible,1417.47
CE170 zone_load_latent,733.866
CE170 feb_mean_cop,3.38598
CE170 feb_mean_idb,22.1811
CE170 feb_mean_humidity_ratio,0.0105496
CE170 feb_max_cop,3.3898
CE170 feb_max_idb,22.1817
CE170 feb_max_humidity_ratio,0.0105814
CE170 feb_min_cop,3.37968
CE170 feb_min_idb,22.1802
CE170 feb_min_humidity_ratio,0.0104641
CE180 clg_energy_consumption_total,1082.3
CE180 clg_energy_consumption_supply_fan,118.46
CE180 evaporator_coil_load_total,4480.72
CE180 evaporator_coil_load_sensible,1523.92
CE180 evaporator_coil_load_latent,2956.81
CE180 zone_load_total,4362.26
CE180 zone_load_sensible,1417.49
CE180 zone_load_latent,2944.77
CE180 feb_mean_cop,4.03054
CE180 feb_mean_idb,22.1571
CE180 feb_mean_humidity_ratio,0.0161617
CE180 feb_max_cop,4.03618
CE180 feb_max_idb,22.1582
CE180 feb_max_humidity_ratio,0.0162004
CE180 feb_min_cop,4.02408
CE180 feb_min_idb,22.1549
